15,19
15,21
16,20
16,23
17,31
17,22
18,35
18,23
19,64
19,30
19,67
19,35
20,58
20,24
20,37
20,22
21,35
21,20
23,52
23,35
24,35
24,25
25,46
25,31
28,54
28,29
28,45
28,35
29,40
29,23
30,60
30,21
33,53
33,18
33,49
33,21
34,42
34,30
37,36
37,20
38,65
38,24
39,48
39,31
39,49
39,24
40,50
40,27
40,29
40,31
42,49
42,33
43,31
43,59
43,50
43,47
44,51
44,69
46,27
46,53
46,70
46,19
47,67
47,54
48,63
48,18
48,43
48,68
48,19
48,32
49,70
49,47
50,60
50,60
54,59
54,26
54,45
54,40
54,23
54,49
54,57
54,38
54,67
54,46
54,21
54,48
57,55
57,22
58,34
58,50
59,68
59,18
60,48
60,40
60,32
60,24
60,47
60,27
61,48
61,20
62,23
62,49
62,67
62,26
62,49
62,21
63,66
63,54
63,68
63,66
63,65
63,19
64,38
64,19
65,18
65,19
65,63
65,49
67,51
67,50
67,27
67,38
69,40
69,39
70,23
70,31
71,43
71,40
71,59
71,38
71,47
71,39
72,25
72,31
73,20
73,29
73,44
73,32
74,19
74,35
75,57
75,32
76,28
76,32
77,25
77,28
77,48
77,32
78,34
78,34
78,43
78,39
78,44
78,38
78,47
78,27
78,37
78,30
78,34
78,30
79,56
79,29
81,19
81,31
85,50
85,36
86,42
86,33
87,36
87,32
87,40
87,28
87,36
87,36
88,52
88,30
88,58
88,27
93,59
93,35
97,37
97,32
98,46
98,29
99,41
99,30
101,54
101,28
103,41
103,36
103,34
103,32
113,33
113,38
120,47
120,35
126,45
126,32
137,32
137,30
